"DATE","TIME PERIOD","Gross domestic product at market prices (MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.V.N)"
"1995-03-31","1995Q1","1413710.42"
"1995-06-30","1995Q2","1430835.28"
"1995-09-30","1995Q3","1452678.98"
"1995-12-31","1995Q4","1467174.96"
"1996-03-31","1996Q1","1480214.39"
"1996-06-30","1996Q2","1497689.66"
"1996-09-30","1996Q3","1511685.63"
"1996-12-31","1996Q4","1517277.21"
"1997-03-31","1997Q1","1514935.09"
"1997-06-30","1997Q2","1529377.57"
"1997-09-30","1997Q3","1544056.71"
"1997-12-31","1997Q4","1568624.57"
"1998-03-31","1998Q1","1575744.81"
"1998-06-30","1998Q2","1590408.90"
"1998-09-30","1998Q3","1606663.00"
"1998-12-31","1998Q4","1627807.76"
"1999-03-31","1999Q1","1647836.82"
"1999-06-30","1999Q2","1659226.29"
"1999-09-30","1999Q3","1682658.26"
"1999-12-31","1999Q4","1706017.55"
"2000-03-31","2000Q1","1736100.60"
"2000-06-30","2000Q2","1755569.42"
"2000-09-30","2000Q3","1776478.54"
"2000-12-31","2000Q4","1795764.93"
"2001-03-31","2001Q1","1828922.69"
"2001-06-30","2001Q2","1841517.28"
"2001-09-30","2001Q3","1856257.13"
"2001-12-31","2001Q4","1870769.51"
"2002-03-31","2002Q1","1887201.57"
"2002-06-30","2002Q2","1903305.97"
"2002-09-30","2002Q3","1924907.29"
"2002-12-31","2002Q4","1937597.24"
"2003-03-31","2003Q1","1944548.25"
"2003-06-30","2003Q2","1956533.01"
"2003-09-30","2003Q3","1981629.87"
"2003-12-31","2003Q4","1998398.37"
"2004-03-31","2004Q1","2019225.96"
"2004-06-30","2004Q2","2043932.75"
"2004-09-30","2004Q3","2058353.24"
"2004-12-31","2004Q4","2078621.30"
"2005-03-31","2005Q1","2092163.09"
"2005-06-30","2005Q2","2114668.02"
"2005-09-30","2005Q3","2140561.57"
"2005-12-31","2005Q4","2169600.95"
"2006-03-31","2006Q1","2196067.45"
"2006-06-30","2006Q2","2234094.52"
"2006-09-30","2006Q3","2260065.52"
"2006-12-31","2006Q4","2297868.39"
"2007-03-31","2007Q1","2333828.27"
"2007-06-30","2007Q2","2360331.16"
"2007-09-30","2007Q3","2381511.30"
"2007-12-31","2007Q4","2410405.07"
"2008-03-31","2008Q1","2437495.03"
"2008-06-30","2008Q2","2442177.62"
"2008-09-30","2008Q3","2434766.06"
"2008-12-31","2008Q4","2401792.13"
"2009-03-31","2009Q1","2336934.78"
"2009-06-30","2009Q2","2336001.98"
"2009-09-30","2009Q3","2345758.17"
"2009-12-31","2009Q4","2362551.29"
"2010-03-31","2010Q1","2374255.66"
"2010-06-30","2010Q2","2401227.26"
"2010-09-30","2010Q3","2421446.29"
"2010-12-31","2010Q4","2440156.08"
"2011-03-31","2011Q1","2471337.77"
"2011-06-30","2011Q2","2476740.18"
"2011-09-30","2011Q3","2485524.91"
"2011-12-31","2011Q4","2485067.78"
"2012-03-31","2012Q1","2489015.94"
"2012-06-30","2012Q2","2485913.32"
"2012-09-30","2012Q3","2492047.63"
"2012-12-31","2012Q4","2487281.93"
"2013-03-31","2013Q1","2492598.72"
"2013-06-30","2013Q2","2514036.79"
"2013-09-30","2013Q3","2525407.81"
"2013-12-31","2013Q4","2533494.28"
"2014-03-31","2014Q1","2556810.53"
"2014-06-30","2014Q2","2567361.80"
"2014-09-30","2014Q3","2583164.27"
"2014-12-31","2014Q4","2600828.70"
"2015-03-31","2015Q1","2633730.99"
"2015-06-30","2015Q2","2656012.13"
"2015-09-30","2015Q3","2676533.83"
"2015-12-31","2015Q4","2692335.72"
"2016-03-31","2016Q1","2713201.08"
"2016-06-30","2016Q2","2723477.01"
"2016-09-30","2016Q3","2744017.11"
"2016-12-31","2016Q4","2767406.37"
"2017-03-31","2017Q1","2796981.95"
"2017-06-30","2017Q2","2830166.43"
"2017-09-30","2017Q3","2857162.86"
"2017-12-31","2017Q4","2892598.50"
"2018-03-31","2018Q1","2904999.91"
"2018-06-30","2018Q2","2926343.50"
"2018-09-30","2018Q3","2942824.73"
"2018-12-31","2018Q4","2976683.87"
"2019-03-31","2019Q1","3007449.17"
"2019-06-30","2019Q2","3027208.56"
"2019-09-30","2019Q3","3047671.23"
"2019-12-31","2019Q4","3063933.45"
"2020-03-31","2020Q1","2979047.11"
"2020-06-30","2020Q2","2677718.61"
"2020-09-30","2020Q3","2959126.55"
"2020-12-31","2020Q4","2990154.49"
"2021-03-31","2021Q1","3027445.79"
"2021-06-30","2021Q2","3104749.86"
"2021-09-30","2021Q3","3202056.90"
"2021-12-31","2021Q4","3262265.55"
"2022-03-31","2022Q1","3329358.64"
"2022-06-30","2022Q2","3399185.25"
"2022-09-30","2022Q3","3462191.68"
"2022-12-31","2022Q4","3523772.40"
"2023-03-31","2023Q1","3594359.30"
"2023-06-30","2023Q2","3635757.44"
"2023-09-30","2023Q3","3665016.03"
"2023-12-31","2023Q4","3706721.13"
"2024-03-31","2024Q1","3742614.93"
"2024-06-30","2024Q2","3768686.77"
