"DATE","TIME PERIOD","HICP - Overall index (ICP.M.U2.Y.000000.3.INX)"
"1997-01-31","1997Jan","72.82"
"1997-02-28","1997Feb","72.79"
"1997-03-31","1997Mar","72.77"
"1997-04-30","1997Apr","72.76"
"1997-05-31","1997May","72.87"
"1997-06-30","1997Jun","72.91"
"1997-07-31","1997Jul","73.01"
"1997-08-31","1997Aug","73.22"
"1997-09-30","1997Sep","73.33"
"1997-10-31","1997Oct","73.41"
"1997-11-30","1997Nov","73.50"
"1997-12-31","1997Dec","73.54"
"1998-01-31","1998Jan","73.53"
"1998-02-28","1998Feb","73.55"
"1998-03-31","1998Mar","73.57"
"1998-04-30","1998Apr","73.71"
"1998-05-31","1998May","73.80"
"1998-06-30","1998Jun","73.88"
"1998-07-31","1998Jul","73.90"
"1998-08-31","1998Aug","73.97"
"1998-09-30","1998Sep","74.00"
"1998-10-31","1998Oct","74.03"
"1998-11-30","1998Nov","74.05"
"1998-12-31","1998Dec","74.04"
"1999-01-31","1999Jan","74.05"
"1999-02-28","1999Feb","74.07"
"1999-03-31","1999Mar","74.22"
"1999-04-30","1999Apr","74.50"
"1999-05-31","1999May","74.47"
"1999-06-30","1999Jun","74.51"
"1999-07-31","1999Jul","74.66"
"1999-08-31","1999Aug","74.80"
"1999-09-30","1999Sep","74.89"
"1999-10-31","1999Oct","75.01"
"1999-11-30","1999Nov","75.14"
"1999-12-31","1999Dec","75.34"
"2000-01-31","2000Jan","75.46"
"2000-02-29","2000Feb","75.58"
"2000-03-31","2000Mar","75.74"
"2000-04-30","2000Apr","75.73"
"2000-05-31","2000May","75.83"
"2000-06-30","2000Jun","76.13"
"2000-07-31","2000Jul","76.23"
"2000-08-31","2000Aug","76.38"
"2000-09-30","2000Sep","76.75"
"2000-10-31","2000Oct","76.80"
"2000-11-30","2000Nov","77.03"
"2000-12-31","2000Dec","76.93"
"2001-01-31","2001Jan","76.89"
"2001-02-28","2001Feb","77.11"
"2001-03-31","2001Mar","77.28"
"2001-04-30","2001Apr","77.57"
"2001-05-31","2001May","77.91"
"2001-06-30","2001Jun","78.04"
"2001-07-31","2001Jul","78.09"
"2001-08-31","2001Aug","78.13"
"2001-09-30","2001Sep","78.32"
"2001-10-31","2001Oct","78.33"
"2001-11-30","2001Nov","78.33"
"2001-12-31","2001Dec","78.42"
"2002-01-31","2002Jan","78.93"
"2002-02-28","2002Feb","79.01"
